journal,abstract
Journal of Linguistic Geography,"This study investigates mood choice for five Acadian French communities in Atlantic Canada which have intertwined settlement histories but which differ in terms of type and degree of dialect contact. The two communities with least contact with supralocal French preserve the highly salient imperfect subjunctive, moribund or absent from most other present-day spoken French varieties. While four communities exhibit high selection rates for the present subjunctive, in line with variationist analyses of other French varieties, one community has surprisingly low rates of such usage, along with absence of the imperfect subjunctive. This dichotomy is explained by the local prestige of the smaller of two founder groups for the community, settlers from Haute-Bretagne, France, a dialect area for which the historical record reveals low levels of subjunctive forms. The results highlight the importance not only of demographic factors but also of local identity construction in the formation of new contact varieties."
Journal of Linguistic Geography,"This article presents a new method for processing data gathered using the “draw-a-map” task in perceptual dialectology (PD) studies. Such tasks produce large numbers of maps containing many lines indicating nonlinguists’ perceptions of the location and extent of dialect areas. Although individual maps are interesting, and numerical data relating to the relative prominence of dialect areas can be extracted, an important value of the draw-a-map task is in aggregating data. This was always an aim of the contemporary PD method, although the nature of the data has meant that this has not always been possible. Here, we argue for the use of geographic information systems (GIS) in order to aggregate, process, and display PD data. Using case studies from the United Kingdom and Germany, we present examples of data processed using GIS and illustrate the future possibilities for the use of GIS in PD research."
Journal of Linguistic Geography,"This paper introduces the Personalized Implicit Association Test (P-IAT, Olson &amp; Fazio, 2004) as a novel measure for language attitudes. Tying in with sociolinguists’ renewed interest in social psychological attitude measures (e.g., Campbell-Kibler, 2012; Pantos &amp; Perkins, 2012; Speelman, Spruyt, Impe &amp; Geeraerts, 2013), the study uses the P-IAT to measure associations with regional varieties of Belgian Dutch and compares the results to an explicit measurement, as well as the results from an experiment using auditory affective priming, another reaction time based attitude measure developed in social psychology, reported in Speelman et al. (2013). Results from both implicit measures show a strong preference for the standard variety of Belgian Dutch over out-group regional varieties, as well as in-group preferences for participants’ own variety over other regional varieties. However, results do not entirely coincide. The paper concludes by discussing the benefits and potential demerits of the P-IAT as a measure of language attitudes."
Journal of Linguistic Geography,"Using data from a Swiss German dialect syntax survey, this study aims to explore, in a spatially differentiated manner, the correlation between dialectal variation and geographic distances. A linguistic distance was expressed by a measure aggregated from 60 survey questions. To operationalize the possibility of language contact, Euclidean distance, as well as travel times in 2000, 1950 and 1850 between survey sites were used. Going beyond previous work by others, we also explore the covariation of geographic and linguistic distances at the local level, focusing on spatial subsets and individual survey sites, thus being able to paint a more differentiated picture. With the diverse physical landscape of Switzerland making an impact on potential language contact, we find that travel times are a better predictor than Euclidean distance for the syntactic variation in Swiss German dialects. However, on the local scale the difference is not always significant, depending on prevalent topography."
Journal of Linguistic Geography,"In the extreme northeastern Argentine province of Misiones, vernacular Portuguese is the primary language of many rural communities, in bilingual contact with Spanish. The present study examines data from Misiones Portuguese and Spanish for evidence of morphosyntactic convergence in the absence of formal schooling in either language or sociolinguistic pressures to produce canonical varieties. Data from a corpus of vernacular Misiones Portuguese and the results of a speeded translation task reveal that even in this sociolinguistically permissive environment bilingual speakers maintain distinct morphosyntactic systems for Portuguese and Spanish (exemplified by nominal plural marking and first-person plural verbal inflection). The data also suggest that bilingual contact alone does not yield the degree of convergence required for the hybrid Portuguese-Spanish morphosyntaxis that has been reported, for example, in northern Uruguay."
Journal of Linguistic Geography,"The use of loanwords is generally attributed to a social feature, like social prestige, and to semantic features, like the need to fill a lexical gap. However, few studies take into account variation in the use of loanwords within a speech community, and directly compare the frequency of loanwords from more than one source language. This paper contributes to research on lexical borrowing by comparing the distribution of loanwords from three different source languages in two large databases of dialect data. We take an onomasiological perspective, which allows us to gauge the frequency of borrowed lexical items vis-à-vis alternative expressions. Using Generalized Additive Mixed Modeling, we show that the usage of loanwords can only be explained by taking into account the interaction between semantics and geographical diffusion. Our analysis confirms that the patterns that occur almost exclusively reflect changes in socio-cultural history."
Journal of Linguistic Geography,"This paper presents the results of a multivariate spatial analysis of thirty-eight vowel formant variables measured in 236 cities from across the contiguous United States, based on the acoustic data from the Atlas of North American English . The results of the analysis both confirm and challenge the results of the Atlas. Most notably, while the analysis identifies similar patterns as the Atlas in the West and the Southeast, the analysis finds that the Midwest and the Northeast are distinct dialect regions that are considerably stronger than the traditional Midland dialect region identified in the Atlas . The analysis also finds evidence that a vowel shift is actively shaping the language of the Western United States."
Journal of Linguistic Geography,"Perceptual dialectology investigates nonlinguists’ beliefs about their own and other varieties. This paper fills a gap in longitudinal research in this area with a restudy of the perceptions of Miami Cubans carried out twelve years after the first study. Perceptions are examined in relation to social and demographic changes with a sample of 84 participants of Cuban origin who responded to a questionnaire about the correctness of regional varieties of Spanish. The results showed that perceptions of non-Cuban varieties remained relatively stable over time, continuing to correlate with race and poverty. Perceptions toward the Cuban Spanish of the Miami community were also stable and, as in the earlier study, were highly positive, reflecting strong beliefs in its correctness-status. In contrast, perceptions of Cuban Spanish on the island were significantly more negative; it was ranked the least correct of the regional varieties evaluated. Factors underlying perceptions are examined in relation to demographic changes, political ideology, and beliefs about race and poverty. This paper highlights the contribution of the longitudinal study of dialect perceptions to the understanding of language attitudes, intergroup relations, and language change."
Journal of Linguistic Geography,"Work in sociolinguistic typology and creole studies has established the theory that intensive language contact involving second language acquisition by adults tends to lead to grammatical simplification. This theory is built on many anecdotal case studies, including developments in the history of Continental North Germanic associated with contact with Middle Low German. In this paper, we assess the theory by examining two changes in the history of Norwegian: the loss of coda /Cr/ clusters and the loss of prepositional genitives. If the theory is correct, these changes should have been innovated in centers of contact with Middle Low German. We find that both changes in fact spread into southeastern Norwegian from Swedish. Since contact with Low German also took place in Sweden and Denmark, this is consistent with the theory. It opens questions for future research about the role of dialect contact in simplificatory change in North Germanic."
Journal of Linguistic Geography,"The current study used a hand-drawn map task, a dialect difference rating task, and a dialect classification task to explore the relationship between participants’ ideologies about dialect differences and their classification of authentic talkers from six regional varieties in Enshi Prefecture, China. The talkers frequently mistaken for each other in the dialect classification task were those who came from counties that were perceived to have similar dialects in the hand-drawn map task and the dialect difference rating task. Participants showed a positive response bias for the Enshi dialect in classifying talkers, corresponding to the dialect difference ratings that Enshi was rated as least different. Thus participants’ classification of real talkers was largely consistent with their ideologies about differences among “imagined” dialects. Participants’ ideologies about dialect differences were shaped by their home county, and their classification performance was affected by their home county and the talker’s social background."
